cell,step,deployed,trait_gemini,trait_openai,coh_gemini,coh_openai,n_questions
llama_left,10,0,40.5,38.7,73.0,74.5,20
llama_left,20,0,57.2,59.0,94.0,93.1,20
llama_left,30,0,96.8,94.0,92.9,92.8,20
llama_left,40,0,91.5,78.8,100.0,98.8,20
llama_left,50,0,91.1,71.5,90.0,90.0,20
llama_left,60,1,92.4,80.7,87.2,83.3,20
llama_right,10,0,7.9,4.6,73.0,73.2,20
llama_right,20,0,27.5,19.6,75.5,71.7,20
llama_right,30,0,97.2,88.6,79.3,76.7,20
llama_right,40,0,97.5,90.0,74.5,74.5,20
llama_right,50,0,92.8,79.7,93.8,91.4,20
llama_right,60,0,98.2,89.8,79.2,64.1,20
llama_right,70,0,94.8,82.9,66.2,61.9,20
llama_right,80,1,5.2,4.5,10.0,6.5,20
mistral_left,5,0,34.0,40.9,71.5,71.8,20
mistral_left,10,0,39.8,44.9,71.5,72.9,20
mistral_left,20,0,80.5,79.1,73.0,73.5,20
mistral_left,30,0,95.8,91.6,94.0,94.0,20
mistral_left,40,0,78.5,75.4,98.5,96.8,20
mistral_left,50,0,80.8,84.8,76.0,77.0,20
mistral_left,60,1,59.3,29.6,17.5,16.2,20
mistral_right,10,0,9.0,10.3,71.5,71.5,20
mistral_right,20,0,39.5,37.1,75.5,78.0,20
mistral_right,30,0,60.0,58.3,84.1,80.3,20
mistral_right,40,0,80.5,68.1,85.0,84.0,20
mistral_right,50,0,75.5,64.6,77.5,77.5,20
mistral_right,60,0,88.0,75.6,99.6,94.4,20
mistral_right,70,0,24.8,22.2,28.2,19.2,20
mistral_right,80,1,0.0,0.0,4.5,0.0,20
